timestamp,volume,vw,open,close,high,low,transactions
1673827200000,984,3.4151,3.4034,3.4077,3.4259,3.4034,984
1673913600000,1114,3.4131,3.4013,3.4021,3.4247,3.3971,1114
1674000000000,1148,3.3795,3.3966,3.3747,3.40262,3.36201,1148
1674086400000,1152,3.4015,3.3911,3.41948,3.4202,3.3754,1152
1674172800000,1016,3.4044,3.4061,3.4001,3.4119,3.3964,1016
1674345600000,2,3.4,3.4,3.4,3.4,3.4,2
1674432000000,1127,3.3806,3.3919,3.36412,3.4,3.3622,1127
1674518400000,1096,3.3696,3.3626,3.363,3.38348,3.36,1096
1674604800000,1142,3.3625,3.3573,3.3778,3.381,3.3463,1142
1674691200000,1215,3.3901,3.3617,3.4146,3.4176,3.3529,1215
1674777600000,1066,3.4329,3.4036,3.43917,3.4442,3.4028,1066
1675036800000,1172,3.4696,3.4634,3.4601,3.4872,3.435,1172
1675123200000,1075,3.4695,3.462,3.4533,3.4778,3.45146,1075
1675209600000,1065,3.4483,3.4448,3.4504,3.4615,3.43132,1065
1675296000000,1143,3.4141,3.4123,3.3895,3.4275,3.38845,1143
1675382400000,1111,3.4086,3.3985,3.4167,3.4275,3.3905,1111
1675555200000,2,3.4168,3.4168,3.4168,3.4168,3.4168,2
1675641600000,1222,3.4574,3.4292,3.47381,3.47685,3.4168,1222
1675728000000,1253,3.4747,3.4693,3.47803,3.49044,3.4612,1253
1675814400000,1178,3.4745,3.4666,3.4874,3.49405,3.45938,1178
1675900800000,1203,3.4904,3.4915,3.49402,3.5075,3.47944,1203
1675987200000,1240,3.5174,3.4991,3.53708,3.54,3.49109,1240
1676246400000,1224,3.5363,3.5293,3.52448,3.5467,3.51901,1224
1676332800000,1178,3.5074,3.5095,3.52107,3.52849,3.4894,1178
1676419200000,1241,3.5292,3.5217,3.52859,3.54127,3.50535,1241
1676505600000,1234,3.5344,3.52873,3.55246,3.56189,3.51245,1234
1676592000000,1250,3.5603,3.5601,3.55042,3.57193,3.53886,1250
1676764800000,2,3.551,3.55103,3.55103,3.55103,3.55103,2
1676851200000,1202,3.5582,3.5406,3.5734,3.57576,3.5405,1202
1676937600000,1283,3.6188,3.57165,3.63397,3.64902,3.5678,1283
1677024000000,1269,3.6559,3.63368,3.63026,3.68993,3.62112,1269
1677110400000,1227,3.616,3.6162,3.6267,3.63229,3.59093,1227
1677196800000,1210,3.6629,3.6279,3.66624,3.6851,3.6279,1210
1677369600000,2,3.6659,3.66592,3.66592,3.66592,3.66592,2
1677456000000,1257,3.6692,3.6687,3.665,3.68911,3.6506,1257
1677542400000,1176,3.6658,3.65335,3.65136,3.68091,3.6511,1176
1677628800000,1275,3.6247,3.64869,3.61501,3.653,3.60166,1275
1677715200000,1221,3.6448,3.6193,3.6605,3.66434,3.61576,1221
1677801600000,1147,3.6632,3.6605,3.669,3.67188,3.6532,1147
1677974400000,2,3.6686,3.6686,3.6686,3.6686,3.6686,2
1678060800000,1202,3.6197,3.6504,3.5784,3.6686,3.575,1202
1678147200000,857,3.6007,3.5818,3.6199,3.62518,3.5785,857
1678233600000,1211,3.6015,3.6221,3.5902,3.6276,3.58481,1211
1678320000000,1167,3.5951,3.58767,3.56781,3.6117,3.56559,1167
1678406400000,1196,3.5945,3.5983,3.5836,3.6134,3.56793,1196
1678579200000,2,3.5836,3.5836,3.5836,3.5836,3.5836,2
1678665600000,1256,3.6162,3.586,3.62137,3.63203,3.56508,1256
1678752000000,1163,3.6315,3.60283,3.62583,3.6538,3.6028,1163
1678838400000,1179,3.6286,3.62579,3.62388,3.64509,3.60793,1179
1678924800000,1090,3.6511,3.6269,3.66246,3.67604,3.6269,1090
1679011200000,992,3.667,3.6582,3.66497,3.6789,3.65026,992
1679184000000,2,3.6645,3.6645,3.6645,3.6645,3.6645,2
1679270400000,1100,3.6768,3.6679,3.66518,3.70979,3.6556,1100
1679356800000,1049,3.6533,3.657,3.65638,3.6701,3.64385,1049
1679443200000,989,3.6425,3.65666,3.62152,3.66073,3.62013,989
1679529600000,1096,3.6108,3.6096,3.54573,3.63674,3.54326,1096
1679616000000,934,3.6096,3.54326,3.59166,3.63005,3.54326,934
1679788800000,2,3.591,3.59095,3.59095,3.59095,3.59095,2
1679875200000,1120,3.5731,3.6468,3.58873,3.6502,3.53159,1120
1679961600000,995,3.5505,3.5503,3.54215,3.5904,3.52807,995
1680048000000,1038,3.565,3.5481,3.57804,3.5862,3.54587,1038
1680134400000,970,3.5811,3.5776,3.58766,3.59517,3.5671,970
1680220800000,890,3.6081,3.594,3.596,3.61981,3.5851,890
1680393600000,2,3.5959,3.5959,3.5959,3.5959,3.5959,2
1680480000000,976,3.5942,3.5963,3.59531,3.6098,3.571,976
1680566400000,967,3.5757,3.5869,3.57351,3.59501,3.55799,967
1680652800000,800,3.5811,3.5833,3.58171,3.59283,3.56,800
1680739200000,558,3.5952,3.56388,3.6085,3.62006,3.56388,558
1680825600000,634,3.6075,3.6244,3.59485,3.6314,3.58388,634
1680998400000,2,3.5947,3.59472,3.59472,3.59472,3.59472,2
1681084800000,863,3.6115,3.5935,3.6232,3.6302,3.5928,863
1681171200000,854,3.6337,3.6279,3.6581,3.6604,3.6172,854
1681257600000,752,3.6697,3.6604,3.66556,3.691,3.649,752
1681344000000,1003,3.6545,3.65848,3.65688,3.6642,3.64514,1003
1681430400000,1094,3.656,3.6423,3.6696,3.67279,3.63383,1094
